gene,one,two
recE_2,1,1
rpsE,1,1
dacA,1,1
group_10002,1,1
atpI,1,1
group_10004,1,1
yohC,1,1
dnaJ,1,1
group_10007,1,1
spaK,1,1
dut,1,1
nuoK,1,1
group_10011,1,1
fabZ,1,1
ydgC,1,1
atpH,1,1
ratA,1,1
tsf,1,1
yaiA,1,1
dps,1,1
bsdD,1,1
group_10020,1,1
fliS,1,1
group_10022,1,1
group_10023,1,1
sulA,1,1
accA,1,1
group_10026,1,1
ihfB,1,1
rpmF,1,1
group_10029,1,1
rplT,1,1
rpmD,1,1
yciS,1,1
chbR,1,1
grxC,1,1
artM_4,1,1
ydaF,1,1
queE,1,1
wzb,1,1
sugE,1,1
smpB,1,1
group_10041,1,1
ppiC,1,1
flgD,1,1
group_10044,1,1
ygdR_3,1,1
mioC_1,1,1
acpP_2,1,1
pykA,1,1
bolA,1,1
group_1005,1,1
group_10050,1,1
rpoE,1,1
group_10052,1,1
group_10053,1,1
xthA,1,1
frdD,1,1
citD_1,1,1
group_10057,1,1
group_10058,1,1
trxC,1,1
rnk,1,1
sra,1,1
group_10062,1,1
hflC,1,1
group_10064,1,1
msrB,1,1
secE,1,1
nrfB,1,1
rplD,1,1
nreC,1,1
group_10070,1,1
yhfA,1,1
grxA,1,1
ilvN,1,1
fadR,1,1
phoB,1,1
ratB,1,1
flgG,1,1
yacG,1,1
yjfL,1,1
rpmG,1,1
minE,1,1
ytfE,1,1
rraB,1,1
cheW,1,1
glnA,1,1
pdhR_5,1,1
cysQ,1,1
rpsF,1,1
rpsN,1,1
yfcE,1,1
group_10091,1,1
rpmE,1,1
tolQ,1,1
yohJ,1,1
rpmE2,1,1
group_10096,1,1
ftsZ,1,1
nuoE,1,1
secB,1,1
group_10100,1,1
lolD_2,1,1
rpsS,1,1
bhsA_1,1,1
group_10104,1,1
rpsQ,1,1
skp,1,1
yfbV,1,1
gntR_4,1,1
pfkA,1,1
yehU,1,1
levE,1,1
hypC_2,1,1
yeeX,1,1
tatA,1,1
rplK,1,1
holE,1,1
group_10116,1,1
rplO,1,1
rpmC,1,1
ftsQ,1,1
emrE,1,1
nuoH,1,1
potE,1,1
nifU,1,1
zwf,1,1
metJ,1,1
ycaR,1,1
group_10127,1,1
pgsA,1,1
infC,1,1
efp,1,1
nusG,1,1
erpA,1,1
rplX,1,1
atpE,1,1
lrp_3,1,1
cbpM,1,1
yihD,1,1
rpoZ,1,1
fliQ_1,1,1
rraA,1,1
pspG,1,1
rdgC,1,1
rplY,1,1
infA,1,1
yicG,1,1
group_10146,1,1
group_10147,1,1
slyD,1,1
rplR,1,1
yabJ,1,1
clpP,1,1
group_10152,1,1
ybhT,1,1
soxR,1,1
ubiE,1,1
uspA_2,1,1
relB,1,1
ygaU,1,1
fsaB,1,1
rplN,1,1
dcd,1,1
ybaN,1,1
rstA,1,1
glpE,1,1
lacC_2,1,1
ybeY,1,1
frr,1,1
pmrD,1,1
group_10169,1,1
glyQ,1,1
nirD,1,1
yibN,1,1
gyrA,1,1
allS_4,1,1
ybdL,1,1
gsiA_9,1,1
group_10177,1,1
rlmL,1,1
caiA_1,1,1
group_10180,1,1
entH,1,1
xylB,1,1
ytfL,1,1
group_10184,1,1
eptB,1,1
glpR_3,1,1
recO,1,1
cheR,1,1
ybeB,1,1
yccU,1,1
yebC,1,1
znuA,1,1
yhbU_3,1,1
nuoI_2,1,1
phoQ,1,1
yohD,1,1
ydgK,1,1
gpmA,1,1
metF,1,1
clcD,1,1
glcR_3,1,1
fliP_2,1,1
flk,1,1
group_10204,1,1
rpe_2,1,1
purR,1,1
xerC,1,1
treR,1,1
lplT,1,1
allS_5,1,1
group_10211,1,1
ubiB,1,1
wzzE,1,1
rob_1,1,1
fre,1,1
ulaR,1,1
kdpE_2,1,1
yvoA_1,1,1
malP_1,1,1
group_10220,1,1
group_10221,1,1
can,1,1
hypB,1,1
thrS,1,1
malF,1,1
atpB,1,1
lysC,1,1
wcaJ_1,1,1
metB,1,1
ndhC,1,1
menA,1,1
mgtB,1,1
ompR,1,1
lexA,1,1
lon,1,1
nrdF,1,1
asnS,1,1
yecS_1,1,1
group_10239,1,1
argE,1,1
hinT,1,1
mukE_1,1,1
ftnA_2,1,1
csiR,1,1
group_10245,1,1
rhaR,1,1
ispA,1,1
yjiA_1,1,1
mdtC_1,1,1
tatD,1,1
oxyR_3,1,1
fabH,1,1
galE,1,1
mxiC,1,1
yjcD,1,1
fieF,1,1
rutR,1,1
nrdD,1,1
cydA,1,1
group_10260,1,1
htrB_2,1,1
yciC,1,1
recA,1,1
ribF,1,1
gltS,1,1
group_10266,1,1
flgB,1,1
sapC,1,1
pyrG,1,1
tqsA,1,1
mtlA,1,1
nhaR,1,1
mdtE,1,1
appC_2,1,1
yfjD,1,1
group_10276,1,1
gltC_3,1,1
group_10278,1,1
rpoA,1,1
bcsA,1,1
group_10281,1,1
recX,1,1
ulaB_2,1,1
nuoI_1,1,1
group_10285,1,1
purP,1,1
def,1,1
group_10288,1,1
yedE,1,1
caiD,1,1
dnaA,1,1
fbaB,1,1
dmlR_3,1,1
atpG,1,1
groL,1,1
group_10296,1,1
citC_2,1,1
group_10298,1,1
priA,1,1
rcnB,1,1
yetF,1,1
rlmM,1,1
pstC,1,1
recB,1,1
group_10305,1,1
btuR,1,1
rsgA,1,1
rpoB,1,1
cobB_2,1,1
selA_2,1,1
yfcG_2,1,1
lolE,1,1
cyoE,1,1
rppH,1,1
php,1,1
ftsL,1,1
allB,1,1
sucC,1,1
yesR,1,1
yihP_1,1,1
lipA,1,1
pykF,1,1
ycjP,1,1
rimO,1,1
yjeA,1,1
group_10325,1,1
csdB,1,1
yoaE_1,1,1
slyB,1,1
group_10329,1,1
group_10330,1,1
prsE_2,1,1
arcC1,1,1
cdd,1,1
group_10334,1,1
cidA,1,1
ytfF,1,1
ydgI,1,1
fliT,1,1
yciO,1,1
yycF,1,1
acnB,1,1
mdtI,1,1
ampE,1,1
uhpC_1,1,1
hemN_2,1,1
rnb,1,1
hdeB,1,1
ybjP,1,1
sbmA,1,1
pgl,1,1
deoD,1,1
gcd,1,1
frdC,1,1
lspA,1,1
group_10356,1,1
bsdC,1,1
mrpA_1,1,1
torA,1,1
recC,1,1
glpR_6,1,1
pcm,1,1
ysdC,1,1
argI,1,1
gsp_3,1,1
group_10366,1,1
flgK,1,1
group_10368,1,1
ispF,1,1
fliG,1,1
damX,1,1
appC_1,1,1
ycgM_1,1,1
nudB,1,1
nsrR,1,1
prfC,1,1
ribA,1,1
pdhR_2,1,1
gmd,1,1
rpe_3,1,1
dnaT,1,1
lpxC,1,1
group_10383,1,1
sodA,1,1
group_10385,1,1
trpD,1,1
glnS,1,1
group_10388,1,1
chbF,1,1
ftsA_2,1,1
galK,1,1
betC,1,1
flhC,1,1
cls,1,1
yeaZ,1,1
csgD,1,1
proW,1,1
recQ,1,1
minD_2,1,1
sdaC,1,1
yvoA_3,1,1
dppA_1,1,1
ldhA,1,1
baeS,1,1
rmuC,1,1
group_10406,1,1
dedA,1,1
metA,1,1
mfd,1,1
glpT_1,1,1
dmlR_5,1,1
dapB,1,1
bdbD,1,1
ilvD_1,1,1
ybhS,1,1
yhhT_1,1,1
dbpA,1,1
mraY,1,1
group_10419,1,1
metP,1,1
envC,1,1
djlA,1,1
uvrD,1,1
cysE_1,1,1
ptsG_2,1,1
hemG,1,1
rnfE,1,1
thyA,1,1
group_10429,1,1
glgX_2,1,1
rsmD,1,1
psiE,1,1
narL_2,1,1
glxK_2,1,1
macA_2,1,1
uspG,1,1
rnfB,1,1
sbmC,1,1
pdxY,1,1
ppsA,1,1
yijD,1,1
dctA,1,1
gcl,1,1
group_10444,1,1
queG,1,1
yncE,1,1
pspC,1,1
btrR,1,1
pcaK,1,1
nagZ,1,1
ydcV_2,1,1
cycB,1,1
psd,1,1
trmD,1,1
rph,1,1
uvrC,1,1
fruA_2,1,1
pgm,1,1
group_10459,1,1
sipC,1,1
deoR_2,1,1
metG,1,1
acs_2,1,1
slmA,1,1
atpD,1,1
ppiB,1,1
lldP,1,1
msbA,1,1
ycaC_1,1,1
aroF,1,1
mrdB,1,1
group_10472,1,1
hycD,1,1
yicL,1,1
mdh_1,1,1
gntT_1,1,1
gnd,1,1
ffh,1,1
fecA,1,1
pepA,1,1
ybhO_1,1,1
tatB,1,1
amn,1,1
yccS_1,1,1
purF,1,1
phoU,1,1
yajC,1,1
glcR_1,1,1
supH,1,1
betB,1,1
group_10491,1,1
caiB,1,1
group_10493,1,1
icd,1,1
hyfB,1,1
group_10496,1,1
flhA,1,1
fadL,1,1
lrp_1,1,1
arnC,1,1
group_10501,1,1
amiC,1,1
yehT,1,1
appB_1,1,1
sbp,1,1
ytfP,1,1
gsiB,1,1
fadM,1,1
qseC_2,1,1
group_10510,1,1
ycfH,1,1
uhpC_2,1,1
group_10513,1,1
clcA,1,1
siaT_3,1,1
comM,1,1
recN,1,1
group_10518,1,1
pspA,1,1
preA,1,1
rapA,1,1
fadB,1,1
fimG,1,1
hemY,1,1
pheT,1,1
basR_3,1,1
usg,1,1
dppA_2,1,1
group_10529,1,1
leuA,1,1
corA,1,1
dxr,1,1
aroG_1,1,1
gppA,1,1
nrdE,1,1
sucD,1,1
ugpC,1,1
yicC,1,1
aceA,1,1
fdhE,1,1
sucB,1,1
rluB,1,1
ygfU,1,1
glcR_4,1,1
group_10545,1,1
yfcD,1,1
lsrC,1,1
dtpA,1,1
hslU,1,1
cysN,1,1
feoB,1,1
flhB,1,1
ppc,1,1
tolB,1,1
grxB,1,1
kdgT_1,1,1
group_10557,1,1
group_10558,1,1
yjeH,1,1
group_10560,1,1
emtA_2,1,1
group_10562,1,1
hyaB_2,1,1
mltA,1,1
mutH,1,1
lptF,1,1
hyfA,1,1
hldD,1,1
group_10569,1,1
yjeM,1,1
phoR,1,1
yecD,1,1
caiA_2,1,1
ybgI,1,1
group_10575,1,1
group_10576,1,1
yhhW_1,1,1
gabD,1,1
group_10579,1,1
gatC_2,1,1
lipB,1,1
hyi,1,1
nadR,1,1
mdlA,1,1
group_10585,1,1
idnT,1,1
udk,1,1
lsrG,1,1
group_10589,1,1
bsaA,1,1
group_10591,1,1
group_10592,1,1
group_10593,1,1
glyS,1,1
group_10595,1,1
mppA,1,1
gudD,1,1
pdxA1,1,1
zntR,1,1
yciK,1,1
ridA,1,1
yccS_2,1,1
group_10603,1,1
group_10604,1,1
ghrA,1,1
gor,1,1
glnQ_2,1,1
group_10608,1,1
wecB,1,1
sufC,1,1
ynaI_2,1,1
cobT,1,1
yihG,1,1
gsiA_4,1,1
coaD,1,1
apaG,1,1
rbsK_2,1,1
citA,1,1
yjiG,1,1
ftsE,1,1
group_10621,1,1
mntB_2,1,1
catM,1,1
aspC_1,1,1
flgF,1,1
pncB,1,1
der,1,1
alr,1,1
recG,1,1
dacD,1,1
gloA,1,1
tyrR_1,1,1
group_10633,1,1
ulaC_1,1,1
prc,1,1
fucP_1,1,1
yebS_1,1,1
napC,1,1
thiC,1,1
puuP,1,1
focA,1,1
eamA_1,1,1
lutR_1,1,1
artI,1,1
yicJ_3,1,1
ramA_2,1,1
minC,1,1
group_10647,1,1
deoB,1,1
ubiC,1,1
marC_1,1,1
nagD,1,1
entC,1,1
prfA,1,1
group_10654,1,1
fucK,1,1
wzc,1,1
ruvB,1,1
group_10658,1,1
glpR_5,1,1
adiC_1,1,1
group_10661,1,1
hisG,1,1
group_10663,1,1
group_10664,1,1
holD,1,1
ycfS,1,1
fumA,1,1
envZ,1,1
plsX,1,1
group_10670,1,1
qmcA,1,1
sppA,1,1
ybiS,1,1
psiF,1,1
glgC,1,1
yusO,1,1
ackA_2,1,1
yccM,1,1
yidZ,1,1
ydiK,1,1
spaL,1,1
ftsY,1,1
apt,1,1
amiD,1,1
pstA,1,1
yfbU,1,1
hutU,1,1
gyrB,1,1
flgJ,1,1
potA_3,1,1
cysA_2,1,1
manZ_2,1,1
gbpR_1,1,1
nuoL,1,1
tomB,1,1
queD,1,1
proC,1,1
srlA,1,1
modA,1,1
rfaG,1,1
group_10701,1,1
emrB_2,1,1
dapF,1,1
ygaP,1,1
mutT,1,1
group_10706,1,1
group_10707,1,1
mnmA,1,1
kdpD,1,1
group_10710,1,1
potA_2,1,1
mdtK_1,1,1
dksA,1,1
lpxA,1,1
group_10715,1,1
msbB,1,1
group_10717,1,1
ackA_1,1,1
nadD,1,1
flgH,1,1
rffG,1,1
bglJ,1,1
trkG,1,1
gsiA_6,1,1
kdsA,1,1
group_10726,1,1
plaP,1,1
iclR,1,1
lptB_1,1,1
ompF,1,1
rplB,1,1
hypA_2,1,1
ycgE_1,1,1
atpA,1,1
kamA,1,1
yhhQ,1,1
invF,1,1
map,1,1
invA,1,1
ywaD,1,1
ilvE,1,1
rplV,1,1
mscS_2,1,1
pcnB,1,1
cbpA,1,1
bcr,1,1
cmpR,1,1
ppa,1,1
proP_2,1,1
argS,1,1
viaA,1,1
rfbC,1,1
hpaB,1,1
flhD,1,1
cysB,1,1
asnC,1,1
atoD,1,1
rfbF,1,1
group_10759,1,1
plsB,1,1
oppC,1,1
moeB,1,1
sfsA,1,1
group_10764,1,1
ybhB,1,1
fpr,1,1
fklB,1,1
group_10768,1,1
ripA,1,1
rlmF,1,1
dgoA,1,1
fabG_4,1,1
glnG,1,1
msrC,1,1
cstA,1,1
murC,1,1
trkA,1,1
group_10778,1,1
uspF,1,1
tmk,1,1
csdA,1,1
murI,1,1
group_10783,1,1
nikR,1,1
artM_2,1,1
hfq,1,1
ybhN,1,1
mdtM,1,1
trpS,1,1
group_10790,1,1
ywpJ,1,1
seqA,1,1
group_10793,1,1
ubiD,1,1
livH,1,1
znuC,1,1
arcA_1,1,1
ydcZ,1,1
lsrR,1,1
spr_1,1,1
group_10801,1,1
csiD,1,1
mhbM,1,1
hisF,1,1
nhaB,1,1
mntR,1,1
yajR,1,1
ccp,1,1
mraZ,1,1
malK,1,1
selD,1,1
trpB,1,1
eda,1,1
dcuA_1,1,1
nuoB,1,1
yscU,1,1
kbl,1,1
dmsB_2,1,1
cfa,1,1
rplC,1,1
gbpR_2,1,1
nuoN,1,1
sbcD,1,1
asd,1,1
typA,1,1
ydgH,1,1
ilvC,1,1
srlD,1,1
rhaA,1,1
nnr,1,1
alaS,1,1
rhlE,1,1
group_10833,1,1
fmt,1,1
group_10835,1,1
ygaZ,1,1
chbC,1,1
potD,1,1
rhmT_4,1,1
araA,1,1
greB,1,1
narK,1,1
ileS,1,1
dnaN,1,1
yagE,1,1
lsrB,1,1
group_10847,1,1
glpK_2,1,1
rhmR_1,1,1
gsiD,1,1
metE,1,1
hemX,1,1
ybeZ,1,1
fucA_2,1,1
oxyR_1,1,1
ulaG,1,1
osmY_2,1,1
purD,1,1
hisQ,1,1
rsmB,1,1
selB,1,1
group_10862,1,1
nfi,1,1
group_10864,1,1
cpxA,1,1
fldA,1,1
mdtJ,1,1
rnz,1,1
barA,1,1
fadK_2,1,1
group_10871,1,1
dppB_1,1,1
anmK,1,1
ilvI,1,1
mnmG,1,1
group_10876,1,1
lolA,1,1
group_10878,1,1
ampD,1,1
gltP,1,1
flgL,1,1
qorA,1,1
yohK_2,1,1
group_10884,1,1
potF,1,1
yfnB,1,1
ydiA,1,1
hxlR,1,1
creD,1,1
hisB,1,1
pabA,1,1
group_10892,1,1
tehA,1,1
group_10894,1,1
argH,1,1
murD,1,1
ugpA,1,1
ilvG,1,1
ansA,1,1
oppA,1,1
ftsW,1,1
yjaB_1,1,1
ygcS,1,1
group_10904,1,1
chbB,1,1
ybhC,1,1
yejM,1,1
arnB_1,1,1
hpcE,1,1
trxA_2,1,1
group_10911,1,1
dam,1,1
galT,1,1
atpC,1,1
thrA,1,1
mrcA,1,1
group_10917,1,1
coaBC,1,1
allD_2,1,1
purA,1,1
speD,1,1
ompX,1,1
fabG_3,1,1
argR_1,1,1
asnA,1,1
yfcF,1,1
ytpA,1,1
group_10928,1,1
group_10929,1,1
group_10930,1,1
yegW,1,1
gdhA_1,1,1
gabP,1,1
aceE,1,1
ubiA,1,1
group_10936,1,1
gudP_1,1,1
syd,1,1
dgoT_2,1,1
group_10940,1,1
gntT_2,1,1
lpxD,1,1
murE,1,1
group_10944,1,1
guaC,1,1
rfaJ_2,1,1
yhhW_2,1,1
yidH,1,1
sipB,1,1
nuoJ,1,1
group_10951,1,1
lgt,1,1
group_10953,1,1
group_10954,1,1
group_10955,1,1
spoT,1,1
basS,1,1
truD,1,1
gsiA_5,1,1
metN_1,1,1
apaH,1,1
rpsB,1,1
yghZ_1,1,1
citS,1,1
brnQ,1,1
mdtH,1,1
nagB,1,1
yeiH,1,1
potB,1,1
relA,1,1
kefB,1,1
group_10972,1,1
ybjG,1,1
rep,1,1
glk,1,1
yhjK,1,1
group_10977,1,1
eno,1,1
ybjO,1,1
smrA,1,1
hemC,1,1
cyoC,1,1
group_10983,1,1
tsx,1,1
