geneA,geneB,11893_2#33,11893_2#34,11893_2#35,11893_2#36,11893_2#40,11893_2#57,11940_1#35,5886_7#7,7712_6#19,7712_6#20,11439_1#96,11893_2#51,11893_2#52,11893_2#53,11893_2#55,11893_2#56,11893_2#58,4502_3#7,4502_3#8,5886_7#4,5886_8#4,5886_8#5,7688_1#89,7712_6#14,7978_7#3,9471_8#11,9471_8#12,9471_8#13,9471_8#27,9471_8#34,9471_8#38,9471_8#40,9471_8#41,9471_8#42,9471_8#44,9471_8#45,9471_8#46,9471_8#47,9471_8#48,9471_8#5,11893_2#45,11893_2#46,5886_7#6,9471_8#16,9471_8#19,9471_8#2,9471_8#20,9471_8#24,9471_8#25,9471_8#26,9471_8#35,9471_8#36,9471_8#4,9471_8#8,4502_3#4,4502_3#5,7688_1#86,7688_1#87,7688_1#88,7688_1#90,7712_6#1,7712_6#21,7969_8#34,7969_8#45,9471_8#17,9471_8#21,9471_8#22,9471_8#23,9471_8#29,9471_8#32,9471_8#33,9471_8#6,11893_2#47,11893_2#48,11893_2#49,11893_2#50,11893_2#59,11893_2#60,5886_6#6,5886_8#1,5886_8#6,9471_8#18,9471_8#30,9471_8#39,9471_8#7,SRR1965575,SRR1967894,SRR3049388,5886_7#3,5886_7#5,9471_8#3,9471_8#43,9471_8#9,11893_2#37,11940_1#36,5886_8#2,5886_8#3,7712_6#11,7712_6#12,7712_6#13,7712_6#15,7712_6#17,7712_6#18,7712_6#2,7712_6#22,7712_6#23,7712_6#24,7712_6#25,7712_6#26,7712_6#27,7712_6#28,7712_6#29,7712_6#3,7712_6#30,7712_6#31,7712_6#32,7712_6#33,7712_6#34,7712_6#35,7712_6#36,7712_6#37,7712_6#4,7712_6#5,7712_6#7,7712_6#8,7712_6#9,9471_8#14,9471_8#15,9471_8#28,11439_1#1,11439_1#2,11439_1#3,11439_1#4,11439_1#5,11439_1#6,11439_1#7,11439_1#8,11439_1#90,11439_1#91,11439_1#92,11439_1#93,11439_1#94,11439_1#95,11893_2#42,11940_1#39,7712_6#10,30073_1#10,30073_1#101,30073_1#105,30073_1#109,30073_1#113,30073_1#117,30073_1#121,30073_1#125,30073_1#129,30073_1#13,30073_1#133,30073_1#137,30073_1#149,30073_1#153,30073_1#158,30073_1#162,30073_1#166,30073_1#170,30073_1#174,30073_1#178,30073_1#18,30073_1#182,30073_1#187,30073_1#191,30073_1#195,30073_1#199,30073_1#2,30073_1#203,30073_1#206,30073_1#207,30073_1#21,30073_1#210,30073_1#211,30073_1#214,30073_1#215,30073_1#219,30073_1#223,30073_1#227,30073_1#231,30073_1#235,30073_1#239,30073_1#243,30073_1#26,30073_1#29,30073_1#319,30073_1#323,30073_1#327,30073_1#331,30073_1#335,30073_1#339,30073_1#34,30073_1#343,30073_1#347,30073_1#351,30073_1#355,30073_1#359,30073_1#363,30073_1#364,30073_1#368,30073_1#37,30073_1#372,30073_1#376,30073_1#380,30073_1#42,30073_1#45,30073_1#49,30073_1#5,30073_1#54,30073_1#57,30073_1#62,30073_1#65,30073_1#71,30073_1#74,30073_1#79,30073_1#82,30073_1#86,30073_1#89,30073_1#93,30073_1#97,Salmonella_enterica_subsp_enterica_serovar_Paratyphi_B_str_SPB7_v1
yecS_2,fliY_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
yecS_2,sseJ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Diff_contigs,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
yecS_2,frmR,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Diff_contigs,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA,6,6,6,6,6,6,6,7,7,7,7,7,7,7,6,7,6,7,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
yecS_2,group_1218,88,88,88,88,88,88,88,88,89,89,88,88,88,88,88,89,88,Diff_contigs,88,88,88,88,88,88,88,87,88,135,88,88,135,88,88,88,88,88,88,88,88,88,88,89,88,88,89,88,88,88,88,88,88,88,88,88,Diff_contigs,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,72,87,91,86,Diff_contigs,Diff_contigs,91,91,87,89,91,91,Diff_contigs,88,88,88,91,86,86,86,139,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,NA,90,90,90,90,90,88,88,89,89,89,89,89,Diff_contigs,89,88,88,Diff_contigs,89,88,89,87,89,88,88,88,88,88,88,88,88,88,Diff_contigs,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,Diff_contigs,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,Diff_contigs,88,85
yecS_2,group_1221,100,100,100,100,100,100,100,100,101,101,100,100,100,100,100,101,100,Diff_contigs,101,100,100,100,100,100,100,99,100,147,100,100,147,100,100,100,100,100,100,100,100,100,100,101,100,100,101,100,100,100,100,100,100,100,100,100,Diff_contigs,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,100,104,99,Diff_contigs,Diff_contigs,104,104,100,102,104,104,Diff_contigs,100,100,100,104,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,NA,102,102,102,102,102,100,100,101,101,101,101,100,Diff_contigs,101,100,100,Diff_contigs,101,100,101,Diff_contigs,101,100,100,100,100,100,100,100,100,100,Diff_contigs,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,101,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Diff_contigs,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,101,100,Diff_contigs,100,97
yecS_2,norV_2,102,102,102,102,102,102,102,102,103,103,102,102,102,102,102,103,102,Diff_contigs,103,102,102,102,102,102,102,101,102,149,102,102,149,102,102,102,102,102,102,102,102,102,102,103,102,102,103,102,102,102,102,102,102,102,102,102,Diff_contigs,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,87,Diff_contigs,106,101,Diff_contigs,Diff_contigs,106,106,102,104,106,106,Diff_contigs,102,102,102,106,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,NA,104,104,104,104,104,102,102,103,103,103,103,102,Diff_contigs,103,102,102,Diff_contigs,103,102,103,Diff_contigs,103,102,102,102,102,102,102,102,102,102,Diff_contigs,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,103,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,Diff_contigs,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,103,102,Diff_contigs,102,99
yecS_2,group_1223,106,106,106,106,106,106,106,106,107,107,106,106,106,106,106,107,106,Diff_contigs,107,106,106,106,106,106,106,105,106,153,106,106,153,106,106,106,106,106,106,106,106,106,106,107,106,106,107,106,106,106,106,106,106,106,106,106,Diff_contigs,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,91,Diff_contigs,110,105,Diff_contigs,Diff_contigs,110,110,106,108,110,110,Diff_contigs,106,106,106,110,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,NA,108,108,108,108,108,106,106,107,107,107,107,106,Diff_contigs,107,106,106,Diff_contigs,107,106,107,Diff_contigs,107,106,106,106,106,106,106,106,106,106,Diff_contigs,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,107,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,Diff_contigs,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,107,106,Diff_contigs,106,103
yecS_2,group_131,91,91,91,91,91,91,91,91,92,92,91,91,91,91,91,92,91,Diff_contigs,91,91,91,91,91,91,91,90,91,138,91,91,138,91,91,91,91,91,91,91,91,91,91,92,91,91,92,91,91,91,91,91,91,91,91,91,Diff_contigs,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,75,90,94,89,Diff_contigs,Diff_contigs,94,94,90,92,94,94,Diff_contigs,91,91,91,95,89,89,89,142,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,NA,93,93,93,93,93,91,91,92,92,92,92,91,Diff_contigs,92,91,91,Diff_contigs,92,91,92,Diff_contigs,92,91,91,91,91,91,91,91,91,91,Diff_contigs,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,92,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,Diff_contigs,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,Diff_contigs,91,88
yecS_2,group_270,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Missing_in_one,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,67,Diff_contigs,67,67,67,Diff_contigs,Diff_contigs,67,Diff_contigs,67,Diff_contigs,Diff_contigs,67,66,66,66,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,67,67,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,NA,66,66,66,66,66,66,66,66,66,66,66,67,67,66,66,66,67,67,66,66,67,66,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,Diff_contigs,69
yecS_2,artM_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
