Genome,Signature
7712_6#43,NA
QGFK,NA
30073_1#82,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#54,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#355,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#69,NA
9471_8#41,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#6,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#41,NA
11893_2#53,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#49,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#182,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#26,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#45,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#331,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#235,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#4,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#214,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#40,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
QGEM,NA
QGFD,NA
30073_1#29,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#178,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#27,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#42,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#368,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#109,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#158,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
QGFH,NA
30073_1#364,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#46,NA
11893_2#71,NA
7712_6#20,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#327,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#74,NA
5886_7#1,NA
30073_1#153,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#376,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#3,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11940_1#39,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#3,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#3,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#335,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7978_7#3,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7688_1#90,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#48,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#206,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#15,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#70,NA
7712_6#28,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#36,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#13,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#35,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#34,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#166,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#16,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#2,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#62,NA
30073_1#219,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#73,NA
9471_8#34,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#25,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#13,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#2,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#31,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#71,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11940_1#36,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#33,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11940_1#35,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7969_8#45,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#210,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#231,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#129,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#8,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#223,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#1,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#22,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#34,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#55,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#162,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#8,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#36,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
5886_8#2,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#94,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#137,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#79,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
4502_3#3,NA
QGEP,NA
7688_1#87,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#91,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#187,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
QGES,NA
4502_3#5,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#239,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
SRR1965575,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#65,NA
9471_8#20,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#65,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#117,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#380,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#5,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#11,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#9,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#40,NA
7712_6#36,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#14,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
5886_8#1,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#22,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
5886_8#6,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#40,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#5,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#57,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
5886_7#2,NA
11439_1#7,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#89,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
QGEN,NA
7712_6#29,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
5886_7#3,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#38,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#21,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#97,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
5886_8#5,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#195,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#86,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#19,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#21,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#44,NA
11893_2#66,NA
30073_1#339,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
5886_7#6,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#57,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#42,NA
11893_2#72,NA
11893_2#41,NA
30073_1#121,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#37,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#39,NA
5886_7#7,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#39,NA
30073_1#133,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#372,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#113,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#10,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#18,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
QGFR,NA
9471_8#14,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#93,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#18,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#49,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#35,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11893_2#75,NA
11893_2#47,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#18,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
4502_3#4,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#7,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#207,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
9471_8#28,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7969_8#34,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
5886_7#5,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#90,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
4502_3#7,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
QGFG,NA
30073_1#191,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
QGFA,NA
11893_2#61,NA
9471_8#27,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#17,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#105,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#26,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#10,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
4502_3#8,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
11439_1#4,frmR:group_2748:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
7712_6#21,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
30073_1#243,frmR:group_1829:group_2747:sseJ:group_544:fliY_1:yecS_2:artM_1
