Genome,Signature
7712_6#43,group_543:yecS_1:frmA:trg_3
QGFK,group_543:yecS_1:frmA:trg_3
30073_1#82,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#54,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#355,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#69,group_543:yecS_1:frmA:trg_3
9471_8#41,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11439_1#6,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
7712_6#41,group_543:yecS_1:frmA:trg_3
11893_2#53,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#49,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#182,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#26,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#45,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#331,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#235,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#4,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#214,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#40,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
QGEM,group_543:yecS_1:frmA:trg_3
QGFD,group_543:yecS_1:frmA:trg_3
30073_1#29,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#178,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#27,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#42,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#368,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#109,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#158,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
QGFH,group_543:yecS_1:frmA:trg_3
